측정소,측정일시,미세먼지(PM10),초미세먼지(PM2.5),오존(O3),이산화질소(NO2),일산화탄소(CO),아황산가스(SO2),PM10등급,PM25등급
정릉로,2026-03-19 01:00,45,23,0.040,0.017,0.4,0.001,2,2
도봉구,2026-03-19 01:00,40,16,0.050,0.008,0.5,0.003,2,2
은평구,2026-03-19 01:00,41,22,0.038,0.013,0.5,0.003,2,2
서대문구,2026-03-19 01:00,36,25,0.040,0.015,0.8,0.004,2,2
마포구,2026-03-19 01:00,31,16,0.043,0.012,0.3,0.002,2,2
신촌로,2026-03-19 01:00,46,22,0.033,0.021,0.4,0.002,2,2
강서구,2026-03-19 01:00,30,17,0.039,0.014,0.3,0.003,2,2
공항대로,2026-03-19 01:00,34,15,0.034,0.020,0.3,0.002,2,2
구로구,2026-03-19 01:00,36,11,0.043,0.012,0.3,0.002,2,2
영등포구,2026-03-19 01:00,24,13,0.044,0.011,0.3,0.002,2,2
영등포로,2026-03-19 01:00,28,14,0.038,0.015,0.3,0.002,2,2
동작구,2026-03-19 01:00,32,17,0.045,0.012,0.3,0.003,2,2
동작대로 중앙차로,2026-03-19 01:00,33,20,0.041,0.018,0.3,0.002,2,2
관악구,2026-03-19 01:00,33,15,0.038,0.013,0.3,0.003,2,2
강남구,2026-03-19 01:00,45,25,0.038,0.016,0.4,0.002,2,2
서초구,2026-03-19 01:00,33,12,0.044,0.008,0.3,0.003,2,2
도산대로,2026-03-19 01:00,42,19,0.041,0.015,0.5,0.002,2,2
강남대로,2026-03-19 01:00,37,11,0.036,0.011,0.3,0.002,2,2
송파구,2026-03-19 01:00,50,31,0.039,0.019,0.4,0.002,2,2
강동구,2026-03-19 01:00,51,41,0.042,0.016,0.6,0.003,2,2
천호대로,2026-03-19 01:00,49,29,0.039,0.018,0.5,0.002,2,2
금천구,2026-03-19 01:00,32,20,0.043,0.013,0.3,0.003,2,2
시흥대로,2026-03-19 01:00,36,16,0.039,0.013,0.3,0.003,2,2
강북구,2026-03-19 01:00,43,22,0.041,0.011,0.4,0.002,2,2
양천구,2026-03-19 01:00,31,14,0.039,0.017,0.4,0.002,2,2
노원구,2026-03-19 01:00,53,35,0.038,0.020,0.5,0.002,2,2
화랑로,2026-03-19 01:00,49,31,0.042,0.017,0.4,0.002,2,2
중구,2026-03-19 01:00,44,29,0.046,0.014,0.4,0.002,2,2
한강대로,2026-03-19 01:00,42,24,0.041,0.014,0.4,0.002,2,2
종로구,2026-03-19 01:00,43,29,0.040,0.012,0.4,0.002,2,2
청계천로,2026-03-19 01:00,44,27,0.038,0.014,0.4,0.002,2,2
종로,2026-03-19 01:00,43,26,0.039,0.012,0.4,0.002,2,2
용산구,2026-03-19 01:00,53,33,0.033,0.023,0.4,0.003,2,2
광진구,2026-03-19 01:00,47,27,0.039,0.013,0.3,0.004,2,2
성동구,2026-03-19 01:00,39,24,0.049,0.011,0.4,0.002,2,2
강변북로,2026-03-19 01:00,46,20,0.038,0.020,0.4,0.003,2,2
중랑구,2026-03-19 01:00,49,33,0.039,0.019,0.4,0.003,2,2
동대문구,2026-03-19 01:00,39,23,0.040,0.010,0.3,0.002,2,2
홍릉로,2026-03-19 01:00,43,21,0.039,0.014,0.4,0.002,2,2
성북구,2026-03-19 01:00,39,24,0.035,0.011,0.4,0.002,2,2
