측정소,측정일시,미세먼지(PM10),초미세먼지(PM2.5),오존(O3),이산화질소(NO2),일산화탄소(CO),아황산가스(SO2),PM10등급,PM25등급
중구,2026-03-15 24:00,75,63,0.041,0.024,0.6,0.003,2,3
한강대로,2026-03-15 24:00,78,61,0.038,0.029,0.6,0.003,2,3
종로구,2026-03-15 24:00,73,62,0.038,0.027,0.6,0.002,2,3
청계천로,2026-03-15 24:00,72,55,0.032,0.030,0.6,0.002,2,3
종로,2026-03-15 24:00,71,52,0.038,0.030,0.6,0.002,2,3
용산구,2026-03-15 24:00,79,57,0.044,0.026,0.6,0.003,2,3
광진구,2026-03-15 24:00,61,46,0.036,0.022,0.5,0.004,2,3
성동구,2026-03-15 24:00,67,50,0.052,0.020,0.5,0.002,2,3
강변북로,2026-03-15 24:00,83,57,0.042,0.030,0.6,0.003,2,3
중랑구,2026-03-15 24:00,66,55,0.035,0.027,0.6,0.002,2,3
동대문구,2026-03-15 24:00,70,54,0.035,0.025,0.6,0.002,2,3
홍릉로,2026-03-15 24:00,71,50,0.034,0.029,0.6,0.002,2,3
성북구,2026-03-15 24:00,70,60,0.028,0.026,0.7,0.003,2,3
정릉로,2026-03-15 24:00,69,51,0.027,0.039,0.7,0.002,2,3
도봉구,2026-03-15 24:00,53,38,0.039,0.022,0.6,0.003,2,2
은평구,2026-03-15 24:00,75,51,0.030,0.020,0.7,0.003,2,3
서대문구,2026-03-15 24:00,61,49,0.032,0.028,1.1,0.006,2,3
마포구,2026-03-15 24:00,74,58,0.042,0.026,0.6,0.002,2,3
신촌로,2026-03-15 24:00,87,60,0.039,0.030,0.7,0.003,2,3
강서구,2026-03-15 24:00,81,60,0.037,0.029,0.6,0.003,2,3
공항대로,2026-03-15 24:00,76,52,0.035,0.029,0.6,0.003,2,3
구로구,2026-03-15 24:00,75,56,0.052,0.016,0.5,0.002,2,3
영등포구,2026-03-15 24:00,76,54,0.050,0.019,0.5,0.002,2,3
영등포로,2026-03-15 24:00,75,58,0.041,0.031,0.6,0.002,2,3
동작구,2026-03-15 24:00,71,56,0.043,0.023,0.5,0.002,2,3
동작대로 중앙차로,2026-03-15 24:00,70,57,0.042,0.029,0.6,0.003,2,3
관악구,2026-03-15 24:00,77,53,0.046,0.019,0.5,0.002,2,3
강남구,2026-03-15 24:00,65,49,0.041,0.022,0.6,0.003,2,3
서초구,2026-03-15 24:00,79,61,0.044,0.019,0.5,0.003,2,3
도산대로,2026-03-15 24:00,76,51,0.043,0.024,0.7,0.003,2,3
강남대로,2026-03-15 24:00,75,55,0.040,0.017,0.5,0.002,2,3
송파구,2026-03-15 24:00,60,47,0.037,0.026,0.5,0.002,2,3
강동구,2026-03-15 24:00,70,54,0.039,0.023,0.7,0.003,2,3
천호대로,2026-03-15 24:00,56,41,0.037,0.025,0.6,0.002,2,3
금천구,2026-03-15 24:00,72,65,0.052,0.017,-,0.003,2,3
시흥대로,2026-03-15 24:00,79,62,0.040,0.027,0.6,0.002,2,3
강북구,2026-03-15 24:00,49,35,0.033,0.017,0.5,0.002,2,2
양천구,2026-03-15 24:00,86,66,0.048,0.021,0.5,0.002,2,3
노원구,2026-03-15 24:00,60,45,0.022,0.036,0.7,0.002,2,3
화랑로,2026-03-15 24:00,62,49,0.015,0.045,0.7,0.002,2,3
