공부시간,출석률,이전점수,과제제출수,수면시간,target
5.7,91.0,49.0,9,6.1,0
2.7,80.0,80.0,2,6.9,0
6.7,96.0,99.0,2,5.3,1
7.1,91.0,72.0,10,7.0,1
0.7,100.0,65.0,5,6.5,0
2.1,91.0,68.0,4,5.6,0
5.3,63.0,79.0,3,6.2,1
4.3,81.0,46.0,7,6.3,0
5.0,68.0,72.0,8,6.2,1
3.1,76.0,65.0,0,8.6,1
6.9,100.0,96.0,6,6.4,1
6.7,90.0,68.0,10,6.2,1
5.1,74.0,93.0,3,4.0,1
7.5,70.0,55.0,3,5.4,0
6.0,82.0,78.0,9,6.2,1
3.1,67.0,74.0,0,5.7,0
5.8,74.0,58.0,4,8.2,0
2.9,86.0,72.0,5,6.3,1
6.9,96.0,87.0,8,8.0,1
4.9,89.0,65.0,1,6.6,1
4.6,55.0,46.0,4,6.5,0
3.5,86.0,70.0,1,6.4,1
7.7,83.0,57.0,8,6.5,1
4.7,87.0,65.0,6,8.6,1
4.1,100.0,69.0,5,3.7,1
4.2,57.0,46.0,4,4.1,0
6.2,75.0,47.0,1,5.8,0
5.8,89.0,77.0,10,6.5,1
5.9,63.0,63.0,7,7.3,1
5.9,100.0,34.0,3,7.1,0
9.7,86.0,81.0,4,6.0,1
4.1,92.0,74.0,7,7.7,0
3.9,75.0,60.0,7,7.7,0
3.2,92.0,52.0,5,6.7,0
6.4,95.0,82.0,3,7.7,1
7.5,85.0,75.0,7,6.8,1
4.7,85.0,100.0,7,5.8,1
3.2,85.0,76.0,6,7.3,1
3.2,72.0,75.0,0,6.6,0
6.4,80.0,68.0,5,6.5,1
6.6,80.0,81.0,6,8.3,1
6.2,87.0,79.0,10,3.6,1
3.5,,88.0,5,4.8,1
5.5,69.0,63.0,3,5.1,0
5.3,80.0,64.0,6,6.1,1
5.5,100.0,63.0,1,6.2,1
6.9,73.0,81.0,0,4.7,1
5.5,72.0,91.0,7,5.3,1
6.5,,64.0,10,5.5,1
5.1,92.0,64.0,9,9.4,1
5.6,82.0,74.0,6,8.7,0
6.4,98.0,67.0,0,6.0,1
1.8,92.0,83.0,10,6.1,1
4.3,92.0,38.0,4,5.1,0
4.0,89.0,58.0,3,4.2,0
3.6,100.0,59.0,9,6.4,1
4.4,80.0,38.0,8,5.3,0
8.3,58.0,57.0,8,6.4,1
3.1,100.0,57.0,3,4.6,0
7.1,77.0,67.0,10,5.6,1
1.3,83.0,86.0,4,6.7,0
4.3,98.0,67.0,5,6.9,1
5.4,63.0,56.0,8,7.0,0
6.3,67.0,69.0,7,4.9,1
6.6,63.0,85.0,1,7.5,0
6.7,72.0,56.0,3,5.5,1
4.2,87.0,57.0,3,7.3,0
4.0,88.0,78.0,10,6.5,1
6.9,85.0,67.0,7,4.8,1
4.6,65.0,79.0,4,6.1,0
2.2,54.0,70.0,8,6.9,0
2.5,83.0,80.0,8,7.2,1
3.0,76.0,56.0,4,6.3,0
6.1,88.0,70.0,4,8.3,1
5.3,90.0,67.0,9,7.7,1
6.5,84.0,53.0,6,6.2,1
4.1,91.0,48.0,1,7.4,0
5.3,85.0,80.0,7,8.8,0
6.4,88.0,65.0,6,8.9,1
4.3,74.0,56.0,5,5.0,0
6.0,80.0,69.0,7,5.4,1
3.5,84.0,86.0,9,8.3,1
4.2,92.0,38.0,3,5.2,0
4.2,77.0,49.0,4,4.9,0
2.4,88.0,57.0,2,5.9,0
6.1,79.0,90.0,7,7.0,1
4.0,81.0,74.0,4,6.4,0
5.0,92.0,81.0,3,5.7,1
6.1,58.0,54.0,7,5.7,1
6.0,66.0,54.0,4,5.6,1
6.5,64.0,76.0,5,5.4,1
4.8,54.0,71.0,4,9.2,0
4.1,74.0,78.0,2,6.9,1
4.8,91.0,67.0,1,7.6,1
1.3,79.0,74.0,9,5.9,1
1.8,84.0,72.0,1,6.3,0
2.1,95.0,81.0,3,5.6,0
2.8,98.0,81.0,7,3.3,1
5.9,81.0,47.0,1,4.8,0
3.0,98.0,39.0,7,4.3,1
4.2,83.0,84.0,8,3.8,0
7.9,72.0,87.0,7,5.1,1
4.2,75.0,56.0,3,8.1,1
6.6,,44.0,0,6.4,0
2.9,71.0,71.0,9,8.0,1
4.5,78.0,83.0,3,7.0,1
2.9,92.0,95.0,8,7.4,1
4.3,100.0,77.0,2,5.4,1
6.8,65.0,65.0,1,7.1,0
1.2,87.0,57.0,8,7.4,0
6.0,70.0,70.0,10,5.8,1
5.5,88.0,66.0,9,7.2,1
3.7,80.0,56.0,8,7.2,1
1.8,60.0,99.0,2,5.8,0
5.2,93.0,95.0,10,5.2,1
3.8,75.0,86.0,7,5.1,1
5.5,76.0,57.0,1,6.6,0
5.0,69.0,82.0,1,6.9,0
8.5,74.0,79.0,9,5.5,1
4.5,87.0,76.0,3,6.5,0
2.7,80.0,87.0,8,7.2,1
5.4,86.0,79.0,1,7.2,1
5.5,86.0,80.0,3,8.4,1
8.0,98.0,79.0,3,8.0,1
6.8,78.0,75.0,3,5.3,1
5.8,64.0,45.0,7,8.5,0
8.2,95.0,71.0,10,5.9,1
2.4,78.0,62.0,10,7.8,0
3.6,95.0,52.0,8,6.6,0
3.0,87.0,94.0,2,6.0,0
4.1,80.0,94.0,10,4.3,1
2.0,86.0,89.0,5,6.3,1
6.4,100.0,74.0,6,4.6,1
4.5,100.0,89.0,7,7.7,1
1.8,83.0,70.0,8,8.3,0
2.8,84.0,73.0,10,5.5,1
5.7,95.0,55.0,6,6.9,1
6.8,,76.0,6,5.6,0
9.4,86.0,71.0,8,5.7,1
11.4,82.0,52.0,2,7.4,1
5.9,86.0,69.0,3,6.5,1
2.8,72.0,69.0,6,8.6,0
0.3,63.0,95.0,0,5.9,0
5.6,57.0,83.0,3,7.7,1
3.2,69.0,70.0,7,6.6,0
4.1,76.0,73.0,10,7.5,1
3.7,78.0,71.0,5,6.0,0
4.7,100.0,67.0,4,6.4,1
7.3,95.0,55.0,4,6.4,0
5.3,70.0,68.0,7,5.5,0
4.7,86.0,60.0,5,7.3,1
2.7,77.0,52.0,0,7.3,0
1.3,79.0,77.0,5,7.2,0
3.9,84.0,75.0,4,8.3,0
4.9,89.0,45.0,7,8.2,0
8.9,78.0,68.0,9,6.1,1
5.3,95.0,84.0,10,6.9,1
7.2,68.0,85.0,6,5.8,1
3.9,82.0,84.0,3,6.5,1
